Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2000_1,2001_1,2002_1,2003_1,2004_1,2005_1,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,Avg_Ann_Growth_rate
E12000006,East of England,15500,15800,16500,16900,16900,17400,18000,18700,19400,20400,20500,21100,21900,22900,23200,24100,0.019354839,0.044303797,0.024242424,0,0.029585799,0.034482759,0.038888889,0.037433155,0.051546392,0.004901961,0.029268293,0.037914692,0.0456621,0.013100437,0.038793103,1.027969748
E12000007,London,16600,17600,18500,18800,19100,19000,20300,20800,21800,23400,23300,23800,24600,25600,26400,27200,0.060240964,0.051136364,0.016216216,0.015957447,-0.005235602,0.068421053,0.024630542,0.048076923,0.073394495,-0.004273504,0.021459227,0.033613445,0.040650407,0.03125,0.03030303,1.031344605
E12000008,South East,15700,16500,17200,17400,17800,18300,19000,19600,20400,21600,21300,22300,23100,23900,24400,25200,0.050955414,0.042424242,0.011627907,0.022988506,0.028089888,0.038251366,0.031578947,0.040816327,0.058823529,-0.013888889,0.046948357,0.035874439,0.034632035,0.020920502,0.032786885,1.030015608
E12000009,South West,13800,14300,14900,15200,15600,15900,16500,17200,18000,19000,18800,19600,20300,21200,21600,22400,0.036231884,0.041958042,0.020134228,0.026315789,0.019230769,0.037735849,0.042424242,0.046511628,0.055555556,-0.010526316,0.042553191,0.035714286,0.044334975,0.018867925,0.037037037,1.030737456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,14500,15000,15700,16000,16200,16600,17400,17900,18700,19800,19700,20500,21200,22100,22600,23400,0.034482759,0.046666667,0.01910828,0.0125,0.024691358,0.048192771,0.028735632,0.044692737,0.058823529,-0.005050505,0.040609137,0.034146341,0.04245283,0.022624434,0.03539823,1.03036356
W92000004,Wales,13400,13100,14400,14400,14600,15000,15500,16100,16900,18000,17900,18800,19400,20300,21000,21400,-0.02238806,0.099236641,0,0.013888889,0.02739726,0.033333333,0.038709677,0.049689441,0.065088757,-0.005555556,0.05027933,0.031914894,0.046391753,0.034482759,0.019047619,1.029690749
S92000003,Scotland,13900,14200,15200,15100,15500,16000,16700,17500,18200,19400,19200,20300,21100,21800,22100,23000,0.021582734,0.070422535,-0.006578947,0.026490066,0.032258065,0.04375,0.047904192,0.04,0.065934066,-0.010309278,0.057291667,0.039408867,0.033175355,0.013761468,0.040723982,1.031975923
N92000002,Northern Ireland,13000,13400,14100,14200,14700,15400,15900,16600,17300,17800,18000,19100,19600,20100,20900,21600,0.030769231,0.052238806,0.007092199,0.035211268,0.047619048,0.032467532,0.044025157,0.042168675,0.028901734,0.011235955,0.061111111,0.02617801,0.025510204,0.039800995,0.033492823,1.032242889
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,14400,14800,15500,15800,16000,16400,17100,17700,18500,19600,19500,20300,21000,21900,22400,23200,0.027777778,0.047297297,0.019354839,0.012658228,0.025,0.042682927,0.035087719,0.04519774,0.059459459,-0.005102041,0.041025641,0.034482759,0.042857143,0.02283105,0.035714286,1.030256453
